"idno","cntry","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","prtvtcgb","contplt","wrkprty","wrkorg","badge","sgnptit","pbldmn","bctprd","pstplonl","clsprty","lrscale","prtclcgb","prtdgcl","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdnm","rlgdngb","rlgdgr","rlgatnd","pray","dscrgrp","ctzcntr","brncntr","livecnta","blgetmg","facntr","mocntr","vteumbgb","evpdemp","pdempyr","lvpntyr","evlvptn","lvptnyr","evmar","maryr","bthcld","nbthcld","plnftr","hhmmb","gndr","yrbrn","agea","maritalb","domicil","eisced","edagegb","eduyrs","mnactic","pdjobev","pdjobyr","emplrel","emplno","wrkctra","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","wkhtot","nacer2","tporgwk","isco08","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","hincsrca","hinctnta","hincfel","iincsrc","region","frprtpl","gvintcz","poltran","ifredu","ifrjob","evfredu","evfrjob","recskil","recexp","recknow","recimg","recgndr","sofrdst","sofrwrk","sofrpr","sofrprv","ppldsrv","jstprev","pcmpinj","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","impdiff","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun","anweight"
384,"GB",30,5,240,4,5,4,3,2,2,2,2,7,8,9,7,6,7,7,"No",NA,0,0,0,0,1,0,0,0,0,NA,NA,NA,2,4,5,8,9,4,3,2,5,1,9,2,2,2,5,6,5,8,5,3,3,0,2,1,"No",3,8,0,NA,NA,0,7,7,0,0,0,2014,0,0,0,1,1,2016,2012,1,2013,0,NA,0,NA,3,1,1,1993,25,6,"city",2,18,13,1,NA,NA,"Employee",NA,1,3,1,20,6,0,47,47,56,4,1412,1,0,NA,NA,"No",1,4,1,NA,"UKD",2,3,3,8,9,7,8,4,4,3,2,2,3,2,4,4,5,4,4,3,2,2,2,2,3,4,1,3,3,1,2,2,1,3,3,2,1,2,6,4,1.6119704
443,"GB",50,5,180,8,8,5,3,2,1,2,1,5,8,8,0,1,5,NA,"Yes",2,0,0,0,0,0,0,0,0,1,NA,2,2,10,8,0,5,8,8,1,1,5,1,5,2,2,3,8,5,5,10,4,4,3,0,2,2,"Yes to some extent",8,5,0,NA,NA,0,7,7,0,1,1,NA,0,1,1,2,1,1975,1979,1,1980,1,1977,1,2,8,2,1,1956,62,1,"suburbs",4,18,13,1,NA,NA,"Employee",NA,1,1,0,NA,8,5,25,25,53,4,4211,0,0,NA,NA,"No",1,4,2,1,"UKE",3,2,2,8,8,5,5,4,3,1,2,2,2,4,2,4,3,3,2,1,6,3,5,1,4,4,2,2,1,3,1,4,2,5,1,4,1,4,2,1,2.108519
445,"GB",120,1,NA,8,8,9,1,2,3,1,2,5,7,8,6,6,1,7,"Yes",1,0,0,0,0,0,0,0,0,1,9,1,2,8,5,4,7,7,6,2,2,4,2,8,2,2,2,6,4,4,8,6,3,2,0,2,3,"Yes to some extent",10,7,1,2,2,8,6,1,0,1,1,NA,0,1,1,2,1,1956,1954,1,1956,1,1956,1,3,10,1,0,1936,82,5,"town",1,15,10,6,1,1998,"Employee",NA,3,3,0,NA,5,0,40,40,28,4,7223,0,0,NA,NA,"Yes, previously",4,NA,1,NA,"UKF",3,2,2,5,0,8,8,4,3,2,1,2,2,2,2,4,2,3,3,2,5,1,6,5,3,2,1,2,4,2,2,6,1,5,1,2,1,1,2,2,0.97526133
446,"GB",600,5,180,5,5,7,2,1,3,1,2,6,6,8,3,3,0,6,"Yes",1,1,0,1,0,1,0,1,0,1,7,1,2,2,6,7,4,5,9,4,1,5,4,0,2,2,3,5,2,2,4,5,3,1,0,3,3,"Yes to some extent",10,4,0,NA,NA,4,5,4,0,1,1,NA,0,1,1,2,1,1961,1962,1,1966,1,1966,1,3,1,1,1,1945,73,4,"town",2,17,13,6,1,2015,"Employee",NA,1,4,1,4,8,7,38,42,85,2,3343,0,0,NA,NA,"No",4,3,1,NA,"UKH",4,3,2,0,7,2,2,3,3,3,3,1,4,2,3,4,4,5,4,4,5,2,3,1,6,5,2,2,5,1,1,5,1,6,1,2,1,1,1,5,1.0279429
455,"GB",60,5,120,5,3,6,3,3,2,2,3,8,6,8,8,7,6,7,"No",NA,0,0,0,0,0,0,0,0,1,5,2,2,7,6,7,7,8,6,2,1,5,1,4,2,2,3,6,6,4,7,5,3,2,1,3,4,"Yes a lot",8,6,0,NA,NA,5,6,7,0,1,1,NA,0,1,1,2,1,1993,2005,1,2005,0,NA,1,2,3,4,1,1978,40,6,"town",4,18,13,1,NA,NA,"Employee",NA,1,3,0,NA,9,7,20,35,47,4,9334,0,0,NA,NA,"Yes, previously",1,3,2,1,"UKG",3,4,NA,9,9,9,9,3,3,4,1,1,2,2,4,3,2,3,3,2,4,4,2,3,2,2,2,2,5,2,2,3,2,4,2,2,1,1,3,3,2.9776936
471,"GB",60,4,30,3,7,7,1,3,2,4,4,4,8,7,5,5,3,3,"Yes",5,0,0,0,0,0,0,0,0,1,4,5,2,8,5,5,7,6,6,2,2,5,2,5,2,2,2,7,7,7,8,6,3,3,0,2,1,"No",7,6,0,NA,NA,3,7,7,0,1,1,NA,0,1,1,1,1,1964,1976,1,1976,1,1976,1,2,4,2,0,1948,70,1,"town",NA,16,15,6,NA,NA,"Self-employed",0,NA,2,0,NA,10,4,0,24,69,1,2611,0,0,NA,NA,"Yes, previously",4,10,1,4,"UKL",3,3,3,7,8,4,5,1,4,1,1,1,3,2,2,4,4,3,3,2,5,2,4,2,5,4,2,3,3,2,2,5,2,4,2,5,2,2,3,2,2.4773989
527,"GB",240,5,240,2,6,5,1,1,3,4,4,0,3,2,1,0,1,5,"Yes",1,0,0,0,0,0,0,0,0,1,7,1,2,9,10,8,5,5,5,2,2,5,4,0,2,2,2,9,2,3,7,1,2,1,0,1,1,"No",1,0,0,NA,NA,0,7,7,1,1,1,NA,0,1,1,2,1,1973,1975,1,1976,1,1976,1,4,1,2,0,1956,62,1,"countryside",4,21,15,6,1,2017,"Self-employed",4,NA,1,1,8,10,10,40,20,41,5,7111,0,0,NA,NA,"Yes, previously",7,NA,NA,NA,"UKM",4,2,2,7,2,9,7,3,4,3,2,1,3,2,3,2,4,4,4,1,6,2,5,2,6,2,1,2,5,1,2,6,1,2,2,5,2,1,5,4,2.1844475
529,"GB",30,5,180,6,8,4,2,3,1,2,1,8,9,7,5,9,5,5,"No",NA,1,0,0,0,0,0,0,0,0,6,NA,NA,7,6,5,8,8,7,2,2,3,2,2,2,2,2,5,7,5,7,4,3,2,0,1,1,"No",7,5,1,7,16,8,5,1,0,0,0,2015,1,0,0,2,1,2017,1995,1,1998,1,1998,1,2,2,3,1,1971,47,1,"village",7,28,20,1,NA,NA,"Employee",NA,2,5,1,10,5,8,40,4,86,2,2131,1,0,NA,NA,"Yes, currently",1,9,1,1,"UKL",3,3,3,8,8,10,8,4,4,1,2,2,2,2,2,4,2,2,2,1,5,1,2,1,5,1,2,2,5,2,2,2,2,5,2,5,2,2,1,4,3.8234985
578,"GB",60,4,60,0,3,6,3,3,1,2,1,2,7,9,4,4,4,4,"Yes",2,0,0,0,0,0,0,0,0,0,5,NA,NA,10,5,2,8,4,5,2,2,4,2,5,3,2,2,8,7,7,10,3,3,4,0,3,2,"Yes to some extent",10,8,1,2,5,5,3,3,0,1,1,NA,0,1,1,1,1,1971,1974,1,1974,1,1974,1,2,5,2,1,1955,64,1,"town",4,15,10,1,NA,NA,"Employee",NA,1,1,0,NA,5,0,9,18,47,4,8322,0,0,NA,NA,"Yes, previously",4,5,2,1,"UKD",5,5,3,7,6,6,5,4,3,2,1,2,3,2,2,3,3,2,3,6,5,3,5,3,5,6,2,1,3,5,3,5,3,5,2,4,1,3,2,3,2.3357434
593,"GB",90,5,180,7,7,7,2,4,4,4,3,4,3,4,2,2,3,2,"Yes",3,0,0,0,0,1,0,0,1,0,4,NA,NA,5,4,3,6,6,5,2,1,5,1,NA,2,2,2,6,4,7,7,7,6,2,1,2,2,"No",8,7,1,8,20,3,5,6,1,1,1,NA,1,1,1,1,1,1980,1997,1,1997,0,NA,1,1,2,2,1,1975,43,6,"suburbs",5,21,18,1,NA,NA,"Employee",NA,1,2,0,NA,5,2,18,18,88,2,3412,0,0,NA,NA,"Yes, currently",1,1,4,1,"UKI",5,2,2,9,8,8,7,2,3,3,2,2,5,2,2,1,5,5,4,1,3,1,2,1,1,5,1,3,2,1,1,3,1,1,2,2,1,1,4,1,1.1494894
