"idno","cntry","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","prtvtcgb","contplt","wrkprty","wrkorg","badge","sgnptit","pbldmn","bctprd","pstplonl","clsprty","lrscale","prtclcgb","prtdgcl","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdnm","rlgdngb","rlgdgr","rlgatnd","pray","dscrgrp","ctzcntr","brncntr","livecnta","blgetmg","facntr","mocntr","vteumbgb","evpdemp","pdempyr","lvpntyr","evlvptn","lvptnyr","evmar","maryr","bthcld","nbthcld","plnftr","hhmmb","gndr","yrbrn","agea","maritalb","domicil","eisced","edagegb","eduyrs","mnactic","pdjobev","pdjobyr","emplrel","emplno","wrkctra","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","wkhtot","nacer2","tporgwk","isco08","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","hincsrca","hinctnta","hincfel","iincsrc","region","frprtpl","gvintcz","poltran","ifredu","ifrjob","evfredu","evfrjob","recskil","recexp","recknow","recimg","recgndr","sofrdst","sofrwrk","sofrpr","sofrprv","ppldsrv","jstprev","pcmpinj","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","impdiff","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun","anweight"
17228,"GB",20,5,30,6,7,6,3,3,3,2,2,4,8,8,4,4,3,6,"No",NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,7,6,3,7,6,7,2,2,4,4,5,2,3,3,5,3,4,7,6,3,2,0,1,3,"Yes to some extent",8,5,0,NA,NA,2,7,7,0,1,1,NA,0,1,1,2,1,1988,1993,1,1993,0,NA,1,1,7,2,1,1968,50,6,"town",2,18,13,1,NA,NA,"Employee",NA,1,4,0,NA,9,2,38,38,86,2,4311,0,0,NA,NA,"Yes, currently",1,3,2,1,"UKC",4,3,2,7,7,5,5,3,3,3,4,3,4,2,2,4,4,4,4,3,5,2,6,2,5,4,1,2,4,2,2,5,2,5,2,2,3,2,3,3,1.840237
17279,"GB",120,5,180,9,9,8,1,2,3,1,2,2,3,3,2,2,3,2,"Yes",2,0,0,0,0,1,0,1,0,1,3,2,1,9,0,0,2,1,5,1,1,5,1,9,1,1,1,10,10,10,9,6,4,3,0,1,1,"Yes to some extent",3,5,0,NA,NA,0,7,7,0,1,1,NA,0,1,1,1,1,1966,1968,1,1975,1,1981,1,1,2,2,0,1950,68,1,"village",6,23,17,6,1,2012,"Employee",NA,2,5,0,NA,2,0,35,35,26,4,2519,0,1,0,0,"Yes, previously",4,6,1,4,"UKJ",1,1,1,10,10,0,0,3,3,3,3,3,1,3,1,5,5,5,5,4,6,1,5,5,2,6,3,3,5,5,2,5,6,2,2,5,2,1,6,4,1.8157886
17294,"GB",30,5,300,7,7,6,2,2,2,1,2,6,5,6,5,4,4,4,"Yes",2,0,0,0,0,1,0,0,0,1,5,2,2,9,6,5,8,6,7,1,1,4,1,6,2,2,2,6,7,7,8,7,3,2,1,2,1,"No",4,4,0,NA,NA,2,7,7,0,1,1,NA,0,1,1,NA,1,1992,1997,1,2006,0,NA,1,1,3,2,1,1975,43,6,"town",2,17,13,1,NA,NA,"Employee",NA,1,3,1,16,8,8,38,60,33,4,2433,0,0,NA,NA,"No",1,7,1,1,"UKC",2,2,1,8,8,4,4,4,2,1,1,1,1,1,2,5,4,4,4,2,5,2,1,2,4,4,2,3,2,1,1,1,1,2,4,4,1,3,2,3,0.9201185
17320,"GB",120,5,300,6,3,5,1,3,5,3,5,5,3,9,1,1,0,3,"Yes",7,1,0,1,0,1,0,1,0,0,5,NA,NA,8,3,0,4,3,1,4,2,3,4,0,3,3,3,0,0,0,10,4,4,2,1,1,1,"No",10,2,1,2,2,5,6,6,1,1,1,NA,0,1,1,2,1,1991,2000,1,2001,0,NA,0,NA,7,2,0,1976,42,6,"village",2,16,11,1,NA,NA,"Employee",NA,1,1,1,5,6,6,40,40,53,4,4211,0,0,NA,NA,"Yes, currently",1,8,2,1,"UKK",2,3,1,7,8,3,4,4,4,2,1,1,4,2,3,4,2,4,2,1,5,5,4,1,2,2,1,2,4,3,1,3,1,3,2,1,1,3,2,1,2.6985419
17352,"GB",120,4,60,3,5,4,2,2,3,2,3,5,3,7,3,4,3,5,"Yes",1,1,0,1,0,0,0,0,0,0,5,NA,NA,7,2,2,3,6,2,4,2,5,3,2,2,3,3,7,5,7,8,4,2,3,0,2,3,"Yes to some extent",4,4,1,2,2,6,7,6,0,1,1,NA,0,1,1,1,0,NA,1966,1,1967,1,1967,1,2,7,1,0,1951,67,5,"town",4,18,13,6,1,2016,"Self-employed",4,NA,2,1,6,8,3,50,60,31,4,2433,0,0,NA,NA,"No",4,3,2,NA,"UKC",2,3,3,8,8,8,5,3,2,1,1,1,3,2,2,4,3,4,4,2,5,2,2,2,4,3,3,2,3,2,2,4,2,3,2,4,4,2,3,2,0.8942722
17385,"GB",60,5,240,6,7,9,1,3,2,3,3,8,7,8,3,3,6,6,"Yes",1,1,0,0,0,0,0,0,0,1,7,1,2,8,8,6,9,7,7,4,1,5,1,5,2,2,2,10,8,10,8,7,4,3,0,2,1,"No",10,10,1,3,11,3,6,7,0,1,1,NA,0,1,1,2,1,2010,2010,1,2014,0,NA,0,NA,0,1,0,1984,34,6,"city",6,22,18,1,NA,NA,"Employee",NA,2,5,1,5,6,1,35,40,88,2,2411,1,0,NA,NA,"No",1,10,1,NA,"UKI",4,3,2,10,10,10,10,4,4,1,1,1,5,4,2,4,5,4,4,4,2,4,1,1,2,5,1,1,1,1,1,1,1,3,1,1,1,1,3,1,4.0698724
17415,"GB",60,5,360,6,8,5,2,3,1,3,4,NA,7,7,NA,NA,NA,9,"Yes",NA,0,0,0,1,1,0,1,0,0,NA,NA,NA,9,5,NA,5,NA,6,2,1,5,1,NA,NA,NA,NA,8,10,10,9,5,4,3,0,2,3,"No",8,8,0,NA,NA,0,7,7,1,1,1,NA,0,1,1,NA,1,1996,1996,1,2004,1,2014,0,NA,3,2,1,1976,42,1,"suburbs",7,21,18,1,NA,NA,"Employee",NA,1,5,1,30,9,NA,37,55,84,1,2422,0,0,NA,NA,"No",1,NA,1,1,"UKJ",2,NA,NA,6,7,2,7,4,4,2,2,2,3,1,2,5,4,2,3,2,5,1,2,2,4,4,1,3,3,2,2,2,2,3,3,3,1,1,5,2,1.8682693
17494,"GB",0,4,180,5,5,7,4,1,1,1,5,0,0,0,0,0,0,0,"No",NA,0,0,0,0,0,1,1,1,0,NA,NA,NA,1,2,2,1,2,3,2,1,5,2,1,2,2,2,3,7,5,2,2,1,1,0,2,4,"Yes a lot",1,1,0,NA,NA,0,6,7,0,1,1,NA,0,1,1,55,1,1999,1996,1,2001,1,2014,0,NA,10,3,0,1981,38,1,"village",3,16,14,5,1,2007,"Self-employed",1,NA,1,1,1,9,10,40,50,43,5,7120,0,1,0,0,"No",6,3,2,6,"UKF",2,1,1,2,0,1,1,2,2,3,2,2,1,4,1,5,4,5,5,1,6,1,5,5,2,5,1,2,5,2,2,5,5,2,5,5,2,1,3,2,4.1227384
17610,"GB",60,5,120,8,7,6,1,3,3,3,2,5,7,7,6,4,6,6,"Yes",3,1,0,1,1,1,1,0,0,1,6,3,2,8,3,1,2,7,5,2,2,5,1,5,1,1,1,9,8,8,7,3,4,2,0,1,1,"No",7,8,1,1,1,5,5,6,0,1,0,1984,0,0,0,1,1,1984,1984,1,1988,1,1993,0,NA,3,2,0,1962,56,5,"city",7,21,19,1,NA,NA,"Employee",NA,1,5,1,NA,8,8,35,50,NA,1,2422,0,0,NA,NA,"Yes, currently",1,10,1,1,"UKI",3,2,3,10,10,7,6,3,2,1,1,1,5,2,2,4,3,3,4,3,5,2,2,3,2,5,2,3,2,2,1,3,2,5,2,5,3,2,4,5,2.2344
17615,"GB",120,1,NA,8,8,8,1,2,5,3,5,3,6,7,4,4,0,5,"Yes",1,1,0,0,0,0,0,0,0,1,6,1,2,8,6,5,6,7,8,3,2,3,5,0,3,3,4,5,4,5,9,6,0,4,0,2,2,"No",10,0,1,2,2,4,7,6,0,1,1,NA,0,1,1,2,1,1956,1976,1,1969,1,1976,1,3,7,1,0,1941,77,4,"suburbs",4,15,7,6,1,2004,"Employee",NA,3,2,1,10,10,10,45,50,18,4,1321,0,0,NA,NA,"Yes, previously",4,1,2,NA,"UKG",3,3,2,8,8,7,6,4,3,1,1,1,3,2,2,4,2,4,4,2,5,2,2,3,2,3,2,4,2,1,2,5,2,3,2,5,1,1,3,3,1.4470243
17661,"GB",1,5,240,7,7,7,2,3,2,3,3,1,8,8,5,4,6,7,"Yes",2,1,0,0,0,1,0,1,1,1,4,2,2,6,2,0,0,4,4,3,1,5,1,5,1,1,1,8,10,10,6,5,4,4,0,1,2,"No",9,8,0,NA,NA,2,6,6,1,1,1,NA,0,1,1,1,1,1992,1994,1,1999,1,2003,1,2,5,3,1,1974,45,4,"village",7,23,18,1,NA,NA,"Employee",NA,2,5,0,NA,6,5,16,21,85,2,2341,0,1,0,1,"Yes, currently",6,2,4,6,"UKK",2,2,1,10,10,6,6,4,3,1,2,2,2,3,2,3,3,4,3,1,5,1,3,2,3,5,1,2,4,2,1,4,4,5,4,3,1,1,3,3,0.9852118
17720,"GB",60,1,NA,5,5,8,2,1,3,2,3,0,5,5,0,0,0,2,"No",NA,0,0,0,0,0,0,1,0,0,3,NA,NA,5,0,0,1,7,1,2,2,4,3,0,3,3,3,5,0,3,5,3,3,3,1,2,1,"No",1,5,1,2,2,5,7,7,1,1,1,NA,0,1,1,2,1,1985,1986,1,1988,1,1993,1,2,4,2,0,1968,50,3,"town",1,15,10,1,NA,NA,"Employee",NA,3,4,1,2,1,1,45,40,38,4,8332,0,1,1,0,"Yes, currently",1,8,1,1,"UKJ",2,2,1,3,7,2,2,1,2,3,3,2,2,2,2,4,4,4,4,3,5,2,5,2,3,5,2,2,3,2,2,5,2,3,3,5,2,2,2,3,2.5586395
17730,"GB",180,3,NA,4,5,6,2,2,3,2,3,0,5,4,2,1,2,6,"Yes",NA,0,0,0,0,0,0,0,0,1,5,NA,NA,4,3,2,3,6,6,3,3,3,3,6,2,2,2,5,6,4,8,5,2,3,0,2,2,"No",6,5,0,NA,NA,2,6,6,0,1,1,NA,0,1,1,55,1,1972,1975,1,1978,1,1978,1,2,4,1,0,1955,63,4,"town",3,17,12,6,1,2017,"Employee",NA,1,5,1,2,5,2,36,36,85,2,6113,0,0,NA,NA,"Yes, previously",4,3,2,NA,"UKE",2,2,2,5,5,4,4,3,3,1,2,2,3,2,2,4,4,4,4,3,5,3,4,5,2,4,3,4,4,2,3,4,3,2,5,5,3,2,3,3,0.90186447
17745,"GB",60,5,180,7,6,8,2,4,4,3,2,4,8,8,4,4,3,6,"Yes",3,0,0,0,0,1,0,1,0,1,3,2,2,8,5,4,9,6,8,2,1,5,1,6,1,1,1,8,9,9,8,6,3,3,0,1,1,"No",6,6,0,NA,NA,2,7,7,0,1,1,NA,0,1,1,1,1,2012,2008,1,2017,0,NA,0,NA,7,2,0,1987,32,6,"village",6,25,16,1,NA,NA,"Employee",NA,1,5,0,NA,9,0,35,35,85,1,2352,0,0,NA,NA,"No",1,7,1,1,"UKJ",4,3,2,10,10,6,6,4,4,2,1,1,2,2,2,4,2,2,2,4,5,1,3,4,4,3,2,1,4,2,1,5,4,4,2,3,2,2,5,3,3.3073921
17750,"GB",0,4,120,6,7,10,4,2,2,1,2,5,6,7,4,4,4,6,"Yes",3,0,0,0,0,0,0,0,0,0,5,NA,NA,9,6,6,6,4,7,2,2,5,3,5,NA,NA,NA,5,7,5,9,7,4,3,0,4,2,"No",9,5,0,NA,NA,6,7,7,0,1,1,NA,0,1,1,2,1,1972,1980,1,1980,1,1980,1,3,7,3,0,1956,62,1,"suburbs",2,16,12,1,NA,NA,"Employee",NA,1,1,1,3,8,4,25,25,47,4,5223,0,0,NA,NA,"No",1,NA,1,1,"UKI",3,3,2,7,6,7,6,2,3,3,2,2,2,2,2,3,2,4,4,1,5,2,3,1,1,5,1,4,4,2,1,5,3,4,4,4,1,2,1,2,3.3515983
17753,"GB",60,5,180,4,2,3,2,4,3,2,3,3,8,8,5,5,8,8,"Yes",2,0,0,0,0,1,0,0,1,1,5,2,3,7,7,0,3,2,3,4,1,5,1,8,2,2,2,5,10,10,8,6,6,3,0,2,2,"No",3,6,1,2,2,5,5,6,0,1,1,NA,0,1,1,1,1,2001,1998,1,2004,1,2010,0,NA,9,2,1,1981,37,1,"village",6,21,18,1,NA,NA,"Employee",NA,1,3,1,6,9,4,32,60,85,2,2341,0,0,NA,NA,"Yes, currently",2,10,1,1,"UKC",5,3,3,10,9,2,3,3,3,4,2,2,4,2,2,4,2,2,3,2,2,2,2,3,2,4,1,2,2,2,3,4,2,3,4,3,2,3,5,1,1.840237
17769,"GB",60,1,NA,5,8,8,1,1,1,2,4,5,7,8,5,3,3,5,"No",NA,0,0,0,0,0,0,0,0,1,5,2,3,8,3,2,9,9,6,3,1,4,1,5,1,1,1,9,9,9,9,2,0,1,0,3,2,"Yes a lot",9,9,1,2,2,10,7,1,0,1,1,NA,0,1,1,1,1,1991,1994,1,2000,0,NA,1,1,10,2,1,1975,44,6,"town",1,16,11,5,1,2002,"Employee",NA,1,4,0,NA,1,1,36,36,47,6,5223,0,0,NA,NA,"No",6,7,3,5,"UKH",3,3,2,9,5,5,4,4,4,1,1,1,5,2,1,3,4,4,4,1,5,2,5,1,5,5,1,1,4,2,1,5,1,5,2,4,1,3,5,5,0.90476716
17779,"GB",60,5,660,3,4,3,3,3,1,1,2,4,7,9,4,4,4,5,"Yes",1,0,0,0,0,1,0,0,1,0,NA,NA,NA,7,6,5,5,6,4,1,1,5,1,10,1,2,2,10,10,9,7,7,3,2,1,4,5,"Yes to some extent",8,8,0,NA,NA,0,7,7,0,1,1,NA,0,1,1,1,1,2012,2012,0,NA,0,NA,0,NA,8,1,1,1992,26,6,"village",5,20,16,1,NA,NA,"Self-employed",0,NA,1,0,NA,10,10,0,50,82,5,3332,0,0,NA,NA,"No",2,5,2,NA,"UKJ",5,3,3,10,10,10,10,4,3,3,2,1,1,1,1,1,1,3,2,2,2,1,2,1,3,5,3,2,3,1,1,1,1,4,1,2,1,5,4,3,1.4648848
17841,"GB",915,2,NA,1,3,5,3,4,2,3,1,2,8,10,1,1,5,9,"No",NA,0,0,1,1,0,0,0,0,0,7,NA,NA,9,9,4,9,5,10,4,1,5,4,5,3,2,2,8,10,8,9,5,5,4,0,3,3,"No",9,10,1,1,1,3,4,1,0,1,0,1965,0,0,0,1,0,NA,1965,1,1965,1,1965,1,3,10,4,1,1941,77,5,"suburbs",5,24,17,6,1,2018,"Employee",NA,1,5,0,NA,10,0,3,3,74,1,2600,0,1,1,0,"No",4,NA,1,4,"UKI",5,4,4,10,0,10,9,4,3,3,1,1,3,1,4,4,3,3,3,4,6,1,6,2,6,2,1,2,4,1,1,6,1,4,2,5,2,1,3,5,5.2239294
17862,"GB",720,5,180,2,5,5,3,3,1,2,1,0,5,9,2,2,2,7,"Yes",2,0,0,0,0,0,0,0,1,1,4,2,3,2,3,0,3,5,2,4,2,5,4,4,4,4,4,5,2,0,10,6,2,2,0,4,4,"Yes a lot",10,8,0,NA,NA,5,7,7,0,1,1,NA,0,1,1,2,1,1967,1970,1,1970,1,1970,1,1,7,1,1,1952,66,5,"town",1,15,14,6,1,1998,"Employee",NA,1,5,0,NA,2,0,50,40,13,4,8150,0,0,NA,NA,"Yes, previously",4,3,2,NA,"UKC",2,2,1,1,7,9,5,2,3,3,1,1,4,3,2,4,2,4,4,2,5,4,5,2,4,4,2,1,5,1,1,5,1,5,1,3,1,1,3,3,1.0453846
17898,"GB",1200,5,120,4,4,3,2,3,3,2,3,7,6,8,4,8,8,9,"Yes",1,0,0,0,0,1,0,0,0,1,7,1,2,9,5,5,6,7,10,3,3,3,3,4,2,2,3,10,8,10,10,3,3,3,0,2,2,"Yes to some extent",10,4,0,NA,NA,3,6,7,0,1,1,NA,0,1,1,2,1,1961,1967,1,1967,1,1967,1,2,10,2,0,1945,73,1,"city",7,15,10,6,1,2011,"Employee",NA,1,2,0,NA,4,4,25,40,29,4,8322,0,0,NA,NA,"Yes, previously",7,6,2,7,"UKG",3,3,3,5,5,5,5,2,2,2,2,2,3,3,3,3,1,1,1,1,3,3,3,1,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,3,2.8940487
17943,"GB",360,5,120,6,6,4,2,2,4,3,4,8,6,8,4,7,3,7,"Yes",1,1,0,0,0,1,0,1,1,1,7,1,1,6,4,6,10,7,7,2,2,4,2,3,2,3,3,4,8,8,7,5,2,2,0,2,3,"No",9,6,0,NA,NA,2,7,7,0,1,1,NA,0,1,1,1,1,1993,1993,1,2008,0,NA,1,2,7,3,1,1975,44,6,"suburbs",6,18,20,1,NA,NA,"Employee",NA,1,4,1,4,7,3,20,20,47,4,5223,0,1,0,1,"No",1,2,2,1,"UKF",4,3,2,9,8,8,7,3,3,1,2,1,4,2,2,2,3,4,4,2,5,2,2,2,5,5,2,2,5,2,2,2,2,5,5,2,2,2,2,5,1.0034491
17981,"GB",60,5,360,3,7,7,3,4,2,3,3,6,8,8,4,6,4,8,"Yes",NA,1,0,0,0,1,0,0,1,0,NA,NA,NA,8,6,6,8,7,10,3,1,5,2,NA,NA,NA,NA,5,7,6,8,6,4,2,0,1,2,"No",7,5,1,2,6,3,6,6,0,1,1,NA,0,1,1,2,1,1998,1979,1,1999,1,1999,1,3,8,2,1,1967,51,1,"village",5,16,16,1,NA,NA,"Employee",NA,1,4,1,18,8,6,37,37,88,1,3412,0,0,NA,NA,"Yes, currently",1,8,1,1,"UKF",3,4,3,8,8,6,5,3,3,1,1,1,3,2,3,3,2,2,3,4,5,2,3,3,4,4,2,2,4,3,2,5,4,4,3,4,3,2,2,4,2.0068982
18007,"GB",30,5,60,7,7,8,3,3,1,2,1,6,3,8,4,4,2,NA,"Yes",1,0,0,0,0,0,0,0,0,1,NA,1,3,6,6,5,5,7,5,2,2,5,2,4,2,2,3,4,4,5,4,5,2,2,1,3,2,"No",8,4,1,2,2,0,7,7,0,1,1,NA,0,1,1,1,1,1970,1978,1,1978,1,1978,1,2,10,2,1,1954,65,5,"suburbs",3,17,12,1,NA,NA,"Employee",NA,1,5,0,NA,8,3,30,30,86,2,4226,0,1,0,1,"No",1,1,3,1,"UKG",2,3,2,10,7,6,6,4,4,2,1,1,4,2,2,2,4,4,5,6,5,2,4,1,5,5,2,1,5,3,2,4,3,6,2,5,2,2,2,3,1.6915392
18013,"GB",60,1,NA,6,5,8,4,2,1,2,1,0,7,1,0,6,0,7,"Yes",1,0,0,0,0,0,0,0,0,1,10,1,3,10,5,5,5,5,10,3,1,5,4,0,2,3,3,5,5,5,7,5,1,1,0,3,2,"No",10,0,0,NA,NA,0,7,1,0,1,1,NA,0,1,1,2,1,1938,1937,1,1954,1,1954,1,3,10,2,0,1929,89,1,"town",1,14,9,6,1,1989,"Employee",NA,1,5,0,NA,0,0,40,0,29,4,8211,0,0,NA,NA,"Yes, previously",4,2,1,4,"UKJ",NA,3,1,10,10,5,3,2,3,3,4,1,2,2,2,4,2,2,3,5,4,2,2,NA,2,2,4,5,2,2,5,5,2,6,2,5,2,2,5,2,1.8157886
18014,"GB",15,5,120,6,7,7,3,2,3,3,2,7,6,7,4,4,4,5,"Yes",1,1,0,0,0,1,0,0,0,0,5,NA,NA,8,6,4,3,4,6,3,1,5,2,5,2,2,2,7,7,5,8,5,3,2,0,2,1,"No",6,5,0,NA,NA,2,6,7,1,1,1,NA,0,1,1,1,1,2003,2008,1,2008,1,2016,0,NA,1,2,0,1983,36,1,"suburbs",5,21,16,1,NA,NA,"Employee",NA,1,3,1,40,8,7,40,45,26,4,1321,0,1,0,0,"No",1,9,1,1,"UKF",3,3,2,9,6,6,4,3,3,3,2,1,3,2,4,4,3,3,3,2,3,3,2,3,4,3,3,1,5,3,3,4,3,4,1,2,3,4,5,4,2.7484937
18059,"GB",60,5,120,5,4,5,1,4,4,3,3,7,7,7,6,7,7,8,"Yes",3,0,1,0,1,1,0,1,0,1,6,3,1,8,7,4,5,7,7,2,1,4,2,8,2,2,2,8,7,7,8,4,3,2,0,1,2,"No",4,4,0,NA,NA,4,6,6,0,1,1,NA,0,1,1,1,1,1996,2000,1,2000,1,2006,1,1,4,3,0,1979,39,1,"town",7,16,17,1,NA,NA,"Employee",NA,1,4,1,13,7,7,39,40,23,4,2421,0,0,NA,NA,"No",1,8,2,1,"UKE",3,3,4,8,8,6,7,4,4,1,1,1,4,2,2,3,3,3,2,2,4,1,4,1,4,3,2,3,5,3,2,4,3,5,3,2,2,2,4,4,2.5416446
18076,"GB",0,1,NA,5,7,8,4,2,1,3,1,9,8,9,5,5,4,7,"No",NA,0,0,0,0,0,0,0,0,0,5,NA,NA,10,5,7,7,8,8,3,4,2,4,5,2,2,2,NA,4,5,10,6,4,2,0,3,1,"No",8,2,1,2,10,10,3,1,0,1,1,NA,0,1,1,55,0,NA,1954,0,NA,1,1954,1,3,10,1,1,1932,86,5,"town",1,14,9,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"No",4,NA,1,NA,"UKJ",3,3,3,3,5,5,5,2,2,2,1,1,1,4,1,4,3,3,3,2,6,1,4,2,5,2,2,1,6,4,2,5,2,6,1,5,2,1,4,3,1.061309
18106,"GB",20,4,300,7,7,6,1,4,4,3,3,6,8,8,6,7,7,7,"Yes",2,0,0,0,0,0,1,0,1,1,3,3,2,8,5,2,7,6,6,2,1,5,1,5,2,2,2,9,9,8,8,6,4,3,0,2,1,"No",8,8,0,NA,NA,3,5,6,0,1,1,NA,0,0,1,1,1,2006,2002,1,2008,1,2016,0,NA,4,2,0,1984,34,1,"city",7,27,22,1,NA,NA,"Employee",NA,1,5,0,NA,7,5,40,40,72,4,2131,1,0,NA,NA,"No",1,8,1,1,"UKI",3,3,4,10,8,6,6,4,4,2,3,3,2,2,2,4,4,3,3,2,3,2,3,4,3,4,3,3,4,3,2,3,4,2,2,4,2,2,4,3,4.0698724
18118,"GB",180,5,60,6,7,6,2,2,2,2,4,7,8,9,5,3,6,5,"Yes",1,0,0,0,0,0,0,0,0,1,8,1,2,7,5,6,8,7,8,5,1,5,3,3,2,2,3,6,3,4,6,5,4,3,0,1,1,"No",10,7,1,2,2,3,4,7,0,1,1,NA,0,1,1,2,1,2000,2002,1,2008,1,2013,1,1,3,3,0,1984,34,1,"suburbs",6,21,17,1,NA,NA,"Employee",NA,2,5,1,NA,7,7,NA,45,84,2,NA,1,0,NA,NA,"No",1,9,1,1,"UKF",5,3,3,9,9,6,6,4,4,2,1,2,5,1,1,3,2,2,2,2,5,3,2,1,3,2,2,3,3,5,1,1,1,1,1,2,1,2,1,2,3.552804
18132,"GB",30,5,120,8,8,7,2,3,2,3,2,5,8,9,4,5,5,6,"Yes",2,0,0,0,0,1,0,0,0,1,3,2,3,9,4,5,7,5,7,4,1,5,2,5,2,2,2,7,8,5,9,6,4,4,0,2,2,"No",8,6,1,1,1,2,5,7,0,1,1,NA,0,1,1,1,1,1994,1989,1,1996,1,2001,1,3,9,2,1,1971,47,1,"town",6,22,18,1,NA,NA,"Employee",NA,1,3,1,10,7,8,36,50,85,1,2341,0,0,NA,NA,"Yes, previously",1,7,2,1,"UKH",4,3,3,9,9,7,7,4,3,2,2,2,4,2,2,3,4,4,3,3,5,3,2,3,3,5,2,3,2,2,2,4,2,3,5,3,2,2,4,1,1.8095343
18163,"GB",60,5,120,7,6,7,1,3,3,4,5,7,8,8,7,6,7,9,"Yes",2,1,0,1,1,1,1,1,1,1,4,2,2,7,6,4,6,8,6,1,1,5,2,5,2,2,2,8,10,8,7,4,4,4,1,1,1,"No",7,8,0,NA,NA,0,7,6,0,1,1,NA,0,1,1,1,1,1978,1983,1,1990,1,2018,1,1,4,3,0,1961,57,1,"city",2,19,15,1,NA,NA,"Self-employed",0,NA,5,0,NA,9,5,0,35,58,4,2642,0,1,1,0,"No",2,10,2,2,"UKI",4,3,3,8,9,4,4,3,4,4,2,2,1,2,1,5,4,4,4,1,4,1,1,4,1,5,2,4,3,2,1,2,4,4,5,5,2,1,4,4,3.3515983
18186,"GB",60,5,240,4,4,4,1,2,2,2,4,6,9,8,6,3,6,6,"Yes",2,0,0,0,0,0,0,0,1,0,4,NA,NA,8,7,0,7,4,6,3,1,5,1,5,2,2,2,9,9,8,8,6,4,3,0,2,2,"No",3,3,0,NA,NA,1,5,7,0,1,0,1986,0,0,1,1,1,2003,2000,1,2010,0,NA,0,NA,4,2,0,1982,36,6,"city",6,20,16,1,NA,NA,"Employee",NA,1,4,1,1,8,2,40,45,66,4,3300,0,0,NA,NA,"No",1,10,1,1,"UKI",5,3,3,10,10,7,4,4,3,3,3,3,5,2,2,2,2,4,2,5,5,3,2,1,5,5,2,4,3,1,4,3,2,4,4,3,4,4,5,3,3.1485038
18217,"GB",0,5,720,2,2,4,4,1,1,1,1,0,0,5,5,5,0,0,"No",NA,1,0,0,0,0,0,0,0,0,5,NA,NA,8,7,0,0,7,6,1,1,5,1,5,2,2,2,7,5,10,7,4,3,1,0,1,3,"Yes to some extent",0,0,0,NA,NA,0,7,7,0,1,1,NA,0,1,1,55,1,2010,2013,1,2018,0,NA,1,2,7,4,1,1995,23,6,"town",4,18,14,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,"Yes, previously",6,2,2,6,"UKN",1,1,1,10,8,10,5,4,4,4,1,2,3,2,2,2,2,4,4,1,6,1,3,1,3,4,6,3,5,3,1,5,3,6,3,2,2,5,3,3,2.8096879
18233,"GB",60,5,65,8,8,8,1,4,3,3,3,8,8,6,5,5,5,5,"Yes",3,0,0,0,0,0,0,1,0,0,4,NA,NA,9,5,4,6,2,3,2,1,5,1,8,1,1,1,10,10,9,9,6,3,3,0,2,1,"No",7,5,1,2,2,8,3,2,0,1,1,NA,0,1,1,1,1,2005,2001,1,2003,1,2005,1,1,3,3,1,1983,35,1,"village",7,22,17,8,1,2017,"Employee",NA,1,5,1,8,10,7,37,60,84,1,3343,1,0,NA,NA,"Yes, currently",1,9,1,1,"UKJ",3,3,3,10,8,5,3,3,3,3,1,2,2,3,2,4,3,4,4,2,5,1,3,2,2,3,1,3,4,2,1,4,4,3,3,2,1,2,2,3,1.8682693
18236,"GB",90,5,60,8,8,6,2,3,1,2,1,7,8,8,7,7,4,8,"Yes",1,0,0,0,0,0,0,0,0,1,6,1,2,8,6,4,8,7,7,2,2,4,2,5,2,2,2,8,7,8,8,6,2,3,0,3,3,"Yes to some extent",8,7,1,2,6,8,3,1,0,1,1,NA,0,1,1,1,1,1965,1979,0,NA,0,NA,0,NA,2,1,1,1949,69,6,"town",3,20,15,6,1,2006,"Employee",NA,1,4,0,NA,8,4,37,37,86,2,3344,0,0,NA,NA,"Yes, previously",4,2,2,NA,"UKM",3,3,2,7,7,7,7,2,2,2,1,1,4,2,2,3,2,3,3,5,5,2,5,2,3,2,3,2,3,3,3,2,2,5,2,3,2,3,2,2,1.2767855
